ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,30813,SUMMARY.TXT,0.29256,0.64273,0.40209,3

ROUGE-2+StopWordRemoval,30813,SUMMARY.TXT,0.14918,0.30012,0.19929,3

ROUGE-SU4+StopWordRemoval,30813,SUMMARY.TXT,0.21010,0.32730,0.25592,3

ROUGE-L+StopWordRemoval,31109,SUMMARY.TXT,0.37427,0.45136,0.40921,4

ROUGE-1+StopWordRemoval,31109,SUMMARY.TXT,0.38369,0.58997,0.46498,4

ROUGE-2+StopWordRemoval,31109,SUMMARY.TXT,0.24935,0.29575,0.27057,4

ROUGE-SU4+StopWordRemoval,31109,SUMMARY.TXT,0.29001,0.30065,0.29523,4

ROUGE-L+StopWordRemoval,30815,SUMMARY.TXT,0.24626,0.52786,0.33584,3

ROUGE-1+StopWordRemoval,30815,SUMMARY.TXT,0.20755,0.65620,0.31536,3

ROUGE-2+StopWordRemoval,30815,SUMMARY.TXT,0.07478,0.26515,0.11666,3

ROUGE-SU4+StopWordRemoval,30815,SUMMARY.TXT,0.12330,0.30263,0.17521,3

ROUGE-L+StopWordRemoval,31469,SUMMARY.TXT,0.28129,0.43984,0.34314,4

ROUGE-1+StopWordRemoval,31469,SUMMARY.TXT,0.28205,0.58945,0.38153,4

ROUGE-2+StopWordRemoval,31469,SUMMARY.TXT,0.13227,0.25825,0.17494,4

ROUGE-SU4+StopWordRemoval,31469,SUMMARY.TXT,0.18442,0.28874,0.22508,4

ROUGE-L+StopWordRemoval,31105,SUMMARY.TXT,0.24756,0.62778,0.35509,3

ROUGE-1+StopWordRemoval,31105,SUMMARY.TXT,0.21387,0.72494,0.33029,3

ROUGE-2+StopWordRemoval,31105,SUMMARY.TXT,0.10594,0.35205,0.16286,3

ROUGE-SU4+StopWordRemoval,31105,SUMMARY.TXT,0.13981,0.35892,0.20123,3

ROUGE-L+StopWordRemoval,31589,SUMMARY.TXT,0.25819,0.30882,0.28124,6

ROUGE-1+StopWordRemoval,31589,SUMMARY.TXT,0.27741,0.44284,0.34113,6

ROUGE-2+StopWordRemoval,31589,SUMMARY.TXT,0.13076,0.15734,0.14282,6

ROUGE-SU4+StopWordRemoval,31589,SUMMARY.TXT,0.17624,0.19626,0.18571,6

ROUGE-L+StopWordRemoval,32557,SUMMARY.TXT,0.36397,0.52517,0.42996,4

ROUGE-1+StopWordRemoval,32557,SUMMARY.TXT,0.33866,0.67779,0.45165,4

ROUGE-2+StopWordRemoval,32557,SUMMARY.TXT,0.15506,0.27623,0.19863,4

ROUGE-SU4+StopWordRemoval,32557,SUMMARY.TXT,0.21408,0.30492,0.25155,4

ROUGE-L+StopWordRemoval,32437,SUMMARY.TXT,0.56807,0.11905,0.19684,3

ROUGE-1+StopWordRemoval,32437,SUMMARY.TXT,0.62101,0.13462,0.22127,3

ROUGE-2+StopWordRemoval,32437,SUMMARY.TXT,0.39553,0.04762,0.08500,3

ROUGE-SU4+StopWordRemoval,32437,SUMMARY.TXT,0.48116,0.04109,0.07571,3

ROUGE-L+StopWordRemoval,33070,SUMMARY.TXT,0.26732,0.24337,0.25478,4

ROUGE-1+StopWordRemoval,33070,SUMMARY.TXT,0.30399,0.39022,0.34175,4

ROUGE-2+StopWordRemoval,33070,SUMMARY.TXT,0.09800,0.12037,0.10804,4

ROUGE-SU4+StopWordRemoval,33070,SUMMARY.TXT,0.15691,0.17358,0.16482,4

ROUGE-L+StopWordRemoval,31333,SUMMARY.TXT,0.25535,0.60417,0.35897,3

ROUGE-1+StopWordRemoval,31333,SUMMARY.TXT,0.23310,0.71399,0.35146,3

ROUGE-2+StopWordRemoval,31333,SUMMARY.TXT,0.12714,0.38906,0.19165,3

ROUGE-SU4+StopWordRemoval,31333,SUMMARY.TXT,0.15828,0.40352,0.22737,3

ROUGE-L+StopWordRemoval,32545,SUMMARY.TXT,0.27811,0.33701,0.30474,4

ROUGE-1+StopWordRemoval,32545,SUMMARY.TXT,0.26271,0.45833,0.33399,4

ROUGE-2+StopWordRemoval,32545,SUMMARY.TXT,0.11507,0.16520,0.13565,4

ROUGE-SU4+StopWordRemoval,32545,SUMMARY.TXT,0.17632,0.19681,0.18600,4

ROUGE-L+StopWordRemoval,32424,SUMMARY.TXT,0.29902,0.46888,0.36517,4

ROUGE-1+StopWordRemoval,32424,SUMMARY.TXT,0.29767,0.58860,0.39538,4

ROUGE-2+StopWordRemoval,32424,SUMMARY.TXT,0.16759,0.29977,0.21499,4

ROUGE-SU4+StopWordRemoval,32424,SUMMARY.TXT,0.21739,0.29977,0.25202,4

ROUGE-L+StopWordRemoval,32543,SUMMARY.TXT,0.21980,0.49167,0.30379,4

ROUGE-1+StopWordRemoval,32543,SUMMARY.TXT,0.19661,0.65398,0.30233,4

ROUGE-2+StopWordRemoval,32543,SUMMARY.TXT,0.09624,0.29577,0.14522,4

ROUGE-SU4+StopWordRemoval,32543,SUMMARY.TXT,0.13012,0.32282,0.18548,4

ROUGE-L+StopWordRemoval,32540,SUMMARY.TXT,0.22890,0.24409,0.23625,3

ROUGE-1+StopWordRemoval,32540,SUMMARY.TXT,0.20895,0.34858,0.26128,3

ROUGE-2+StopWordRemoval,32540,SUMMARY.TXT,0.05512,0.06405,0.05925,3

ROUGE-SU4+StopWordRemoval,32540,SUMMARY.TXT,0.09716,0.12823,0.11055,3

ROUGE-L+StopWordRemoval,32541,SUMMARY.TXT,0.17924,0.42949,0.25292,3

ROUGE-1+StopWordRemoval,32541,SUMMARY.TXT,0.16459,0.60523,0.25880,3

ROUGE-2+StopWordRemoval,32541,SUMMARY.TXT,0.05403,0.15640,0.08032,3

ROUGE-SU4+StopWordRemoval,32541,SUMMARY.TXT,0.09090,0.23163,0.13056,3

ROUGE-L+StopWordRemoval,31573,SUMMARY.TXT,0.33087,0.47430,0.38981,4

ROUGE-1+StopWordRemoval,31573,SUMMARY.TXT,0.29801,0.59215,0.39648,4

ROUGE-2+StopWordRemoval,31573,SUMMARY.TXT,0.15499,0.33723,0.21237,4

ROUGE-SU4+StopWordRemoval,31573,SUMMARY.TXT,0.19424,0.35499,0.25109,4

ROUGE-L+StopWordRemoval,31452,SUMMARY.TXT,0.36008,0.47568,0.40988,5

ROUGE-1+StopWordRemoval,31452,SUMMARY.TXT,0.33106,0.60849,0.42881,5

ROUGE-2+StopWordRemoval,31452,SUMMARY.TXT,0.18713,0.27957,0.22420,5

ROUGE-SU4+StopWordRemoval,31452,SUMMARY.TXT,0.24766,0.29228,0.26813,5

